"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"","","","","","","","","","","","","","","","","","",""
"kyrie","irving","said","wednesday","want","lose","salary","chance","compete","","brooklyn","nets","best","refusing","","covid","vaccine","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","right","just","like","woman","right","choose","body","","right","choose","employees","going","","talented","basketball"
"star","choice","refuse","vaccine","move","","continue","league","","","","","","","","","","",""
"","star","kyrie","irving","gives","million","refuse","covid","shot","stands","black","community","","york","","","","",""
"","","bron","literally","biggest","star","last","years","","thinks","","gonna","better","without","","","","",""
"","star","player","","starter","arguably","make","break","team","real","problem","someone","goin","game","suing","","","covid",""
"","putting","first","cool","still","deserve","","like","","","","","","","","","","",""
"","right","mess","","","","","","","","","","","","","","","",""
"irving","play","train","nets","season","long","vaccinated","","","","","","","","","","","",""
"","undisputed","dude","literally","","disease","","comprehend","order","made","","gotten","vaccinated","","","clown","show","star",""
"","star’s","vaccine","skepticism","runs","counter","racial","justice","stance","","","","","","","","","",""
"espnnba","everyone","fooled","basically","","categories","potential","","","another","","star","dpoy","selection","ever","","","",""
"","star","brandon","goodwin","gets","blood","clots","clot","shot","","","vqtepdzymh","","youtube","","","","",""
"","star's","vaccine","skepticism","runs","counter","racial","justice","stance","","","","","","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","","",""
"","players","vaccinated","basically","means","","zombie","star","coming","","","","","","","","","",""
"","","good","level","impact","","different","larry","bird","","","reasons","","still","exists","grown","global","game","durant"
"changed","basically","nothing","take","career","","history","major","impact","just","another","star","","","","","","",""
"","comes","","star","","","","","","","","","","","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","","",""
"","star's","vaccine","skepticism","runs","counter","racial","justice","stance","","","","","","","","","",""
"tweetydimes","magic","play","aids","","","play","star","game","","treatment","","","","","","","",""
"","tweetydimes","retired","soon","","physical","back","","played","star","game","played","games","season","learned","virus","","",""
"","star","blames","vaccine","career","ending","blood","clots","hawks","ordered","silence","","","","news","feedly","","",""
"","star","kyrie","irving","says","refusal","","covid","vaccine","best","","news","selfish","ignorant","","","","",""
"sawhaps","scarisen","niztastic_","vaushv","owner","","steph","curry","lebron","","last","dude","bench","think","","players","","paid","dont"
"know","still","point","just","made","point","","answer","utube","analogy","star","channel","gets","","wages","editor","","",""
"","star","brandon","goodwin","gets","blood","clots","clot","shot","youtube","","","","","getongab","","","",""
"nkyrie","irving","breaks","silence","refusal","","covid","vaccine","","","ttlwsnzkpf","","","","","","","",""
"springhill","company","consumer","","business","created","","star","lebron","james","business","partner","maverick","carter","selling","minority","stake","group","investors"
"including","nike","epic","games","redbird","capital","partners","owners","boston","","","","","","","","","",""
"","star's","vaccine","skepticism","runs","counter","racial","justice","stance","","","","","","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","","",""
"mjbird_o","","made","","","team","multiple","star","teams","","","","","","","","","",""
"","yaboidubc","","","serious","williams","","","utah","","","korver","made","star","team","atlanta","jefferson","averaged",""
"frye","cleveland","","","","","","","","","","","","","","","","",""
"","star","kyrie","irving","says","refusal","","vaccinated","what’s","best","","banned","playing","","","","","",""
"news","brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"news","","star's","vaccine","skepticism","runs","counter","racial","justice","stance","","","","","","","","gefyyekbbf",""
"","star's","vaccine","skepticism","runs","counter","racial","justice","stance","","","","","","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","","",""
"","star's","vaccine","skepticism","runs","counter","racial","justice","stance","","","","","","","","","",""
"inside","lakers","quest","turn","star","studded","roster","","team","","","","","","","","","",""
"","theory","goodwin","","shot","","docs","prob","went","walgreens","words","highly","doubt","lebron","","","needle","goodwin","star"
"player","","","","","","","","","","","","","","","","","",""
"leading","example","_benched","","star","kyrie","irving","says","choosing","best","refusing","covid","shot","","","","","nbcnews",""
"espn's","stephen","smith","goes","scorched","earth","benched","","star","kyrie","irving","","","","","yahoo","","",""
"","defense","stays","healthy","","","money","","mark","feel","like","","","potential","star","there’s","plenty","","snubbed"
"","mvsontop","","lowry","vanfleet","","team","also","made","star","","team","hype","around","","","","",""
"","star","suffered","extreme","fatigue","blood","clots","told","keep","quiet","vaccine","ended","career","","","","","",""
"","star","kyrie","irving","gives","million","refuse","covid","shot","stands","black","community","","york","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","star","brandon","goodwin","gets","blood","clots","clot","shot","","","","","","medical","health","covidiots","","pureblood"
"kyrie","","","","","","","","","","","","","","","","","",""
"listen","recent","episode","podcast","","scored","","","game","rochester","legend","","","","star","glenn","hagen","",""
"scvceafdmj","","","","","","","","","","","","","","","","","",""
"listen","recent","episode","podcast","","scored","","","game","rochester","legend","","","","star","glenn","hagen","",""
"scvceawokt","","","","","","","","","","","","","","","","","",""
"future","","star","","","","","","","","","","","","","","","",""
"kyrie","","retiring","nets","star","says","believe","retiring","speculation","hang","vaccine","mandate","","","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","cnbc","","","","","","","",""
"","today","","star","lost","mother","covid","reacts","irving's","vaccine","stance","","","","","","","",""
"avajonath","phil_lewis_","selfishness","self","centered","ignoring","fact","actions","potential","","people","pampered","","star","thinking","wants","important","health","safety"
"everyone","else","","","","","","","","","","","","","","","","",""
"lil_buts","mlstrat","mean","office","","court","","millionaire","star","basketball","player","apart","league","worlds","greatest","athletes","","pretty","cool"
"","","","","","","","","","","","","","","","","","",""
"tough","first","collegiate","tournament","","smith","former","","star","attacked","bees","","north","carolina","","bees","","","uqcytrymaq"
"percent","","players","currently","vaccinated","however","kyrie","irving","vaccinated","covid","","nets","","sean","marks","believes","stance","challenge","perceived"
"control","society","people’s","livelihood","sources","tell","","","","","","","","","","","","",""
"percent","","players","currently","vaccinated","however","kyrie","irving","believes","stance","challenge","perceived","control","society","people’s","livelihood","","ongoing","saga"
"","","","","","","","","","","","","","","","","","",""
"","star","gets","blood","clots","says","","ends","season","possibly","career","","","","","","","",""
"","week","away","grizzlies","starting","season","","bold","predictions","things","","","morant","star","","candidate","desmond","bane",""
"improved","player","love","along","jaren","jackson","","right","","","","","","","","","","",""
"","star","kyrie","irving","breaks","silence","vaccine","mandate","","","","videos","","","","","saveamerica","",""
"belief","choice","kyrie","truthful","word","american","worker","speaking","belief","","star","much","bigger","platform","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","","",""
"","star","johnamaechi","revealed","honourable","sports","person","world","mrjamesob","discussing","turned","","lakers","","part","time","person","principle","that’s"
"","used","","","right","","","","","","","","","","","","","",""
"","star","kyrie","irving","says","want","lose","salary","chance","compete","","brooklyn","nets","what’s","best","refusing","","covid","vaccine"
"","","","","","","","","","","","","","","","","","",""
"","basketball","star","jalen","rose","blowing","first","","contract","","","xeasokitqb","","","","","","",""
"","","star","jalen","rose","invested","","","","","","","","","","","","",""
"","york","city","paid","settle","cases","nypd","officers","last","five","years","alone","billion","dollars","taxpayer","money","expensed","","police"
"misconduct","officers","face","discipline","","nypd","","","","","","","","","","","","",""
"love","","speaking","much","sense","","","","","","","","","","","","","",""
"","star","kyrie","irving","gives","million","refuse","covid","shot","stands","black","community","","york","","","","",""
"","jcmacrinba","likely","happen","randle","makes","","team","","randle","knick","star","","","","","","",""
"espn's","stephen","smith","goes","scorched","earth","benched","","star","kyrie","irving","","","","yahoo","","","",""
"","star","kyrie","irving","claps","back","covid","vaccine","mandate","retiring","they’re","using","example","","","qwesntwytk","","",""
"","star","kyrie","irving","refusing","covid","vaccine","nets","give","ultimatum","","shot","stay","home","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","","",""
"","five","basketball","star","jalen","rose","blowing","first","","contract","paid","phone","never","used","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","","sfiaccodlb","","","","","",""
"davidbanksz","like","michael","jordan","contract","","time","","","","star","","","","","","","",""
"","star","","","finance","money","business","crypto","bigtech","","china","blockchain","hongkong","","investment","singapore","wealth","forex","invest"
"investing","","biometrics","crypto","security","cybersec","","","tehzllrhux","","","","","","","","","",""
"well","least","honest","motive","","","","","","","","","","","","","","",""
"zeekdeekins","","","","phil_lewis_","realize","mattia","huge","","star","","ruin","","player","","","","",""
"stocks","bonds","feel","","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","cnbc","","","star","jalen","rose","invested","crypto","tangibly"
"touch","feel","cnbc","","","","","","","","","","","","","","","",""
"","","star","jalen","rose","hasnt","invested","crypto","cant","tangibly","touch","feel","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","five","basketball","star","jalen","rose","blowing","first","","contract","paid","phone","never","used","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","","alvfgmrzbd","","","","","",""
"","interested","","","","jaden","higher","usage","playmaking","situations","second","units","blowouts","wins","","finchy","mentions","",""
"fzaenwwxyk","","","","","","","","","","","","","","","","","",""
"","five","basketball","star","jalen","rose","blowing","first","","contract","paid","phone","never","used","","cnbcmakeit","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","cnbcmakeit","","","akefhlieok","","","",""
"dapper","labs","signs","multi","year","partnership","","star","kevin","durant’s","boardroom","","","","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","cnbc","","","","crypto","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","cnbc","","","","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","","","","","","","",""
"","five","basketball","star","jalen","rose","blowing","first","","contract","paid","phone","never","used","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","","jnscmrcewk","","","","","",""
"","five","basketball","star","jalen","rose","blowing","first","","contract","paid","phone","never","used","","","","",""
"","five","basketball","star","jalen","rose","blowing","first","","contract","paid","phone","never","used","","cnbcmakeit","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","","","","","","","",""
"","","makes","feel","like","champ","think","star","","player","cracked","pressure","survived","joke","","","","",""
"","five","basketball","star","jalen","rose","blowing","first","","contract","paid","phone","never","used","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","","","","","","","",""
"","","star","jalen","rose","invested","crypto","tangibly","touch","feel","","","","","","","","",""
"","five","basketball","star","jalen","rose","blowing","first","","contract","paid","phone","never","used","","","","",""
"kyrie","give","colin","kaepernick","","","ntpjyiomln","","","","","","","","","","","",""
"","must","suffer","","","lemon","","","","","","","","","","","","",""
"","star","gets","blood","clots","says","","ends","season","possibly","career","","","aivsehctdt","","","","",""
"icymi","","star","gets","blood","clots","says","","ends","season","possibly","career","","","","","","",""
"protected","","people","stand","together","","","","","","","","","","","","","",""
"inside","lakers","quest","turn","star","studded","roster","","team","","","","","","","","","",""
"wnba","star","dunks","playoff","game","first","runs","court","play","defense","opposed","","seems","like","every","dunk","celebrated","like",""
"first","","ever","wnba","","","","","","","","","","","","","","",""
"","","","just","fine","","major","","teams","slide","board","making","mistake","","","","","",""
"poll","","","former","","star","","better","career","potd","takenote","nbatwitter","utahjazz","","","","","",""
"great","know","least","people","still","value","","even","sociopaths","government","","create","draconian","policies","want","shred","play","dictator",""
"","","","","","","","","","","","","","","","","","",""
"there’s","difference","kind","giving","someone","pass","","sure","kyrie","related","","folks","trying","kindly","discourage","highly","influential","","star"
"message","ultimately","harm","","people","","","","","","","","","","","","","",""
"","gonna","pissed","star","","give","","damn","flowers","","","","","","","","","",""
"","star","benched","refusing","","becomes","symbol","kyrie","just","sacrificed","kaepernick","ever","","","","","","",""
"","nytimes","except","","needs","kyrie","needs","","","needed","lebron","","","showing","stupid","think","star","","needs"
"kyrie","","watch","","number","brooklyn","better","without","","","","","","","","","","",""
"","","lebron","lebron","scrutinized","tweets","","alone","actions","heavily","regardless","kyrie","biggest","","star","vaccinated","openly","dudes","railing"
"wiggins","just","hard","kyrie","puts","situations","","","","","","","","","","","","",""
"","nytimes","hahahhaha","","trolling","really","trying","make","seem","like","","stupid","every","superstar","history","","needed","another","superstar"
"","","barely","exceptions","superstar","doesn’t","make","someone","star","","","","","","","","","",""
"","prefer","tell","stephen","shut","instead","","star","spoken","virtue","signaling","","","","","","","",""
"","star","kyrieirving","breaking","silence","covid","","controversy","going","instagram","","choice","vaccinated","","latest","","","",""
"","star","kyrie","irving","says","","","suspension","","","","tpusttmrjw","","","umtbmvvgqf","","","",""
"","star","kyrie","irving","says","","","suspension","","","","","","","","","","",""
"nbcnews","","star","kyrie","irving","says","refusal","","covid","vaccine","best","","","","","","","",""
"","","star","kyrie","irving","says","refusal","","covid","vaccine","best","","","","","","","",""
"donwinslow","","star","kyrie","irving","says","refusal","","covid","vaccine","best","","","","","","","",""
"","","star","kyrie","irving","says","refusal","","covid","vaccine","best","","","","","","","",""
"joyannreid","","star","kyrie","irving","says","refusal","","covid","vaccine","best","","","","","","","",""
"former","","star","","smith","","college","debut","sports","betting","news","","","","","","","",""
"inside","lakers","quest","turn","star","studded","roster","","team","sports","betting","news","","","","","","",""
"","","star","","smith","concludes","college","golf","debut","sports","betting","news","","","","","","",""
"just","selfish","entitled","","give","million","dollars","rather","","vaccine","protects","teammates","","","york","","star","entitled",""
"","connaughton","dual","sport","star","star","recruit","hoops","","","champion","many","kids","","told","specialize","sport","early","good"
"thing","played","baseball","notre","dame","","","","","","","","","","","","","",""
"keegan","murray","star","recruit","came","bench","iowa","last","year","frosh","averaged","","","","","amongst","","","draft"
"prospects","","stats","everything","","","","","","","","","","","","","","",""
"anti","","","star","says","plans","retire","","","ornqzcwubp","","","","","","","","",""
"","star","banned","playing","gets","vaxxed","","","","","","","","","","","","",""
"","healthy","","people","","provide","daily","screening","kyrie","others","want","vaccine","","","star","kyrie","irving","says","refusal"
"","covid","vaccine","best","","","wwutkblmex","","cbsnews","","","","","","","","","",""
"steph","says","lebron","","standard","longevity","","","","","","","","","","","","",""
"inside","lakers","quest","turn","star","studded","roster","","team","","","hoiwdiaont","","","","","","",""
"","nets","star","kyrie","irving","speaks","vaccine","mandates","","","","","","","","","","",""
"","star","kyrie","irving","says","refusal","","vaccinated","","whatâ","","best","","","banned","playing","","",""
"","star","irving","sidelined","nets","refusing","covid","vaccination","","","","","","","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","brooklyn","nets","star","kyrie","irving","says"
"","","team","says","allowed","play","","","","","follow","news","","","","","","",""
"kyrie","irving","","star","says","refusal","","vaccinated","what’s","best","","banned","playing","","","mutwoopaol","","",""
"kyrie","irving","","star","says","refusal","","vaccinated","what’s","best","","banned","playing","","","mboehqpebd","","",""
"megatjp","suppose","feel","like","saying","gonna","whatever","takes","play","","vaccine","stronger","message","saying","","vaccine","eventually","caving","dismissed"
"","","","going","back","","star","player","lolol","","","","","","","","","",""
"vaccination","","vaccinated","brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","",""
"gabby","petito","update","","star","refuses","vaccine","mandates","christopher","columbus","much","much","gabbypetito","kyrieirving","columbusday","nbatwitter","","podcast",""
"","oedxfkdsmp","","","","","","","","","","","","","","","","",""
"","star","kyrieirving","best","declining","vaccine","","","","","","","","","","","","",""
"nbareactz","","","haris","","","team","star","starter","averaged","multiple","seasons","second","option","","team","elite","defender","think"
"regardless","financial","penalties","","star","vaccinate","","","","","","","","","","","","",""
"","star","kyrie","irving","says","refusal","","vaccinated","what’s","best","","banned","playing","","","onvozvenvi","","",""
"","rookie","year","show","days","left","create","showcase","","","moments","rookie","year","badges","chance","","playoff","packs","rare"
"rising","star","packs","rare","star","game","packs","","nbatopshot","","","","","xdtlnbhmiz","","","","",""
"","star","ardent","supporter","world","flat","also","vaccines","find","","role","model","kids","","","","","",""
"","star","kyrie","irving","says","refusal","","vaccinated","","whatâ","","best","","","banned","playing","","",""
"","star","kyrie","irving","says","refusal","","covid","vaccine","best","","","","","","","","",""
"","star","kyrie","irving","says","refusal","","covid","vaccine","best","","","obijyngrrh","","","","","",""
"","","just","every","","star","every","teams","resets","like","preset","point","","","","","","",""
"","star","kyrie","irving","says","refusal","","covid","vaccine","what’s","best","","","","","","","",""
"","star","kyrie","irving","says","refusal","","vaccinated","what’s","best","banned","playing","news","sportsnet","","","","",""
"","star","irving","sidelined","nets","refusing","covid","vaccination","team","","","","","","","","","",""
"","star","irving","best","declining","covid","vaccine","","","qfsdyixdou","","","","","","","","",""
"","star","irving","sidelined","nets","refusing","covid","vaccination","","","","","","","","","","",""
"","star","irving","sidelined","nets","refusing","covid","vaccination","","","","","","","","","","",""
"","","play","simmons","showcase","best","running","average","","teams","regular","season","trade","deadline","another","","star","doesn’t","wilt"
"half","court","","playoff","basketball","","","","","","","","","","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","","",""
"","star","kyrie","irving","says","refusal","","vaccinated","","whatâ","","best","","banned","playing","","","jnzwwqtuyz",""
"","","","","","","","","","","","","","","","","","",""
"","lavern","spicer's","","republican","candidate","just","like","","","","star","winner","","","","","",""
"think","kyrie","irving","","publicly","disclosed","","brooklyn","nets","star","allowed","play","gets","shot","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","irving","","refused","publicly","disclose","vaccination","status"
"","","","","","","","","","","","","","","","","","",""
"brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","irving","","refused","publicly","disclose","vaccination","status"
"","","","","","","","","","","","","","","","","","",""
"","","","","refer","","star","toosoon","year","","aussie","takes","clutch","","","season","","","sports"
"australia","","","","","","","","","","","","","","","","","",""
"wnba","piss","poor","marketing","just","like","qotr","piss","poor","marketing","","","","know","every","game","event","star","definitely"
"gotta","improve","area","gotta","sell","product","women","","catty","","","fight","emotional","","","","","",""
"things","bigger","moor","important","basketball","people","keep","talking","bout","well","kyrie","willing","potentially","risk","","","","bigger","imagine"
"public","support","fellow","star","players","","every","team","across","league","even","vaxxed","","","","","","",""
"","","star","kyrie","irving","says","respect","choice","","news","","","","","","","","",""
"coppednews","brooklyn","nets","star","kyrie","irving","says","","","team","says","allowed","play","","","","","",""
"woke","talked","crush","went","friends","crush","says","likes","back","became","","star","went","","read","backwards","","",""
"woke","talked","crush","","friends","crush","likes","backs","became","","star","went","","read","backwards","","","",""
"curry","praises","lakers","star","james","longevity","","","","mccktigqor","","","","","","","","",""
"curry","praises","lakers","star","james","longevity","","","","mccktigqor","","","","","","","","",""
"curry","praises","lakers","star","james","longevity","","","","mccktigqor","","","","","","","","",""
"","money","baby","stupidity","","","","","newscomauhq","","","","","","","","","",""
"anti","","","star","breaks","silence","","","","","","","","","","","","",""
"america","","","enough","aussie","rookie","","","","","","","","","","","","",""
"america","","","enough","aussie","rookie","","","","","","","","","","","","",""
"unlarbie","point","exactly","westbrook","legit","star","even","","player","meaning","","never","done","without","","superstar","","",""
"kyrie","irving","brooklyn","nets","star","says","","","team","says","allowed","play","","","","","","",""
"","star","serge","ibaka","developing","animated","kids","series","","arrow’s","","","","","","","","",""
"curry","praises","lakers","star","james","longevity","","","","","","","","","","","","",""
"","star","irving","best","declining","vaccine","","","","","","","","","","","","",""
"gwiogl","knicks","traded","detroit","","guarantee","portland","basically","fighting","stay","","","","asktfgkyae","","","","",""
"","play","","also","","season’s","stars","missed","possible","games","highest","percentage","season","","history","","worth","emphasizing",""
"covid","related","games","missed","","","","","","","","","","","","","","",""
"","star","barred","playing","defends","decision","","covid","vaccine","","","","","","","","","",""
"anti","","","side","just","really","true","feels","good","said","player","line","brooklyn","nets","","york","","",""
"","","","","","","","","","","","","","","","","","",""
"","smith","stung","hornets","college","golf","tourney","","","","","","","","","","","",""
"","star","kyrie","irving","best","declining","covid","vaccine","","","","","","","","","","",""
"","star","brandon","goodwin","gets","blood","clots","clot","shot","","","","","","","","","",""
"dparkok","","gunna","","giddey","looks","like","star","making","","mann","starting","","feel","","","looked","really","good"
"tonight","think","really","good","shot","maker","thunder","played","really","really","good","palo","banchero","center","","","","",""
"muhjora","","nbadraft","okcthunder","joshgiddey","doubt","josh","giddey","great","gunna","star","doubt","thunder","come","huge","","pick","gets",""
"point","line","","numbers","","","makes","look","easy","court","special","","","","","","","",""
"hopefully","idiot","","severe","dose","learn","lesson","","star","irving","sidelined","nets","refusing","covid","vaccination","","","",""
"","basketball","star","jalenrose","says","rookies","bought","dumb","things","","dumbest","purchases","says","luxury","phone","high","","worth","individuals"
"called","vertu","","","","","","","","","","","","","","","","",""
"bensimmons","update","","richpaul","working","bring","unhappy","star","back","philly","near","future","","report","nbatwitter","","","",""
"school","announced","jrsmith","play","first","collegiate","tournament","monday","tuesday","phoenix","","hosted","elon","tournament","take","place","","yard","alamance"
"country","club","golf","course","ncaa","hbcu","ncat","","","","","","","","","","","",""
"","waiting","jamalmurray's","return","going","give","star","point","guard","much","time","needs","recover","torn","left","","nbatwitter","",""
"","","","","","","","","","","","","","","","","","",""
"","desperately","hope","","superstar","searching","long","climb","back","contender","nbatwitter","","","","","","","",""
"","releasing","beer","created","former","","star","","","","mulvtdbwkh","","","","","","","",""
"","star","irving","best","declining","covid","vaccine","read","","","","eaglenews","","","","","","",""
"","star","irving","best","declining","covid","vaccine","","","","","","","","","","","",""
"","star","gets","blood","clots","says","","ends","season","possibly","career","","","wuazcudupa","","","","",""
"curry","praises","lakers","star","james","longevity","","","","","","","","","","","","",""
"","star","irving","best","declining","covid","vaccine","","","mkirqnyeto","","","","","","","","",""
"fresh","news","","star","irving","what’s","best","declining","covid","vaccine","","","","","","","","",""
"","","anthony","says","single","years","pulling","plug","year","marriage","","star","carmelo","anthony","","","","",""
"","shot","everyone","around","going","give","unless","saying","vaccine","really","protect","anybody","case","even","really","vaccine","sounds","like","hyped"
"placebo","","","","","","","","","","","","","","","","","",""
"suffer","","taking","vaccine","little","protect","","like","getting","myocarditis","like","dying","vaccine","induced","immune","thrombotic","","",""
"","","","","","","","","","","","","","","","","","",""
"","star","irving","what’s","best","declining","covid","vaccine","","","","","","","","","","",""
"espn","host","rips","","star’s","decision","","vaccinated","","","","","","","","","","",""
"curry","praises","lakers","star","james","longevity","","","","fqeirvjqmm","","","","","","","","",""
"listen","saying","collective","important","individual","individual","rights","important","team","dangerous","anti","american","anti","capitalism","","communist","thinking","",""
"","","","","","","","","","","","","","","","","","",""
"","star","irving","what’s","best","declining","covid","vaccine","","","","","","","","","","",""
"really","wonder","gilligan's","island","reruns","better","ratings","","","","","","","","","","","",""
"","meanwhile","getting","hidden","","sports","","like","firsttake","undisputed","","","","","","","","",""
"","star","irving","best","declining","covid","vaccine","","","","","","","","","","","",""
"","star","irving","best","declining","covid","vaccine","fmtnews","","","juhbxqaydy","","","","","","","",""
"role","model’s","role","model","giant","beautiful","mind","educating","","privilege","first","","star","john","amaechi","giant","court","handy",""
"","","","","","","","","","","","","","","","","","",""
"","many","","star","players","stood","vaccine","mandates","stopped","","fascist","forced","vaccine","agenda","cowards","","","",""
"breaking","","star","kyrie","irving","benched","brooklyn","nets","gets","covid","vaccine","team","","","","","","",""
"brooklyn","nets","star","kyrie","irving","says","best","declining","covid","vaccine","move","sidelined","","play","irving","says","","pressure","insisting"
"neither","anti","","vaccines","","","","","","","","","","","","","","",""
"update","full","story","kyrie","irving's","","nets","","","","afpsports","","","","","","","",""
"","star","kyrie","irving","benched","brooklyn","nets","gets","covid","vaccine","follow","updates","coronavirus","","","","","",""
"","star","kyrie","irving","says","refusal","","vaccinated","what’s","best","follow","updates","coronavirus","","","","","",""
"","star","brandon","goodwin","gets","blood","clots","clot","shot","","","","","youtube","","","","",""
"venturebeat","dapper","labs","partners","nfts","kevin","durant","rich","kleiman","","","","transform","technology","summits","start","october","",""
"code","code","enabling","enterprise","agility","register","","dapper","labs","teaming","","star","kevin","durant","","","","",""
"","star","irving","best","declining","covid","vaccine","","","hijeynbanz","","","","","","","","",""
"manoffrm","jamesraue","","","tobias","","salary","player","entire","","never","made","star","team","","","","",""
"jamesraue","manoffrm","","","","","whatever","","seem","know","better","everyone","","scorers","choke","playoffs","dime","dozen",""
"tobias","sucks","never","make","star","team","","paid","player","league","salary","holds","back","contending","","","","",""
"report","kyrie","irving","refusing","vaccine","protest","mandates","","losses","kyrie","irving","","vaccine","","vaccine","mandates","firings","according","report"
"athletic","brooklyn","nets","star","","abide","","","","algfjzawia","","","","","","","","",""
"year","","aussie","takes","clutch","","","season","","","","","","","","","","",""
"","star","irving","best","declining","covid","vaccine","","","","enca","","","","","","","",""
"irving","said","","pressure","vaccinated","insisting","neither","anti","","vaccines","","","","","","","","",""
"","every","","star","tweeting","game","great","suns","along","","cardinals","players","including","legend","larry","fitzgerald","yeah","walter","lame"
"","enjoy","presence","hand","brother","","","","","","","","","","","","","",""
"","star","chris","paul","joins","parker","paige","media","produce","playdate","family","competition","format","deadline","","","flunlzmfqt","",""
"australian","","basketball","star","josh","giddey","helps","oklahoma","city","thunder","defeat","denver","nuggets","preseason","","","","",""
"","star","kyrie","irving","says","best","declining","covid","vaccine","move","","sidelined","","play","","","","",""
"","coach","steve","nash","said","","team","understands","star","guard","kyrie","irving","unavailable","home","games","remains","","",""
"dakvicylao","","","","","","","","","","","","","","","","","",""
"much","known","bensimmons","back","","there’s","clear","sign","","star","guard","","rescind","trade","request","actually","play","","nbatwitter"
"","","","","","","","","","","","","","","","","","",""
"","","star","","player","","player","","","votes","last","year","orrrrr","","didn’t","even","make","first","team"
"rookie","worst","defender","","finals","history","","worse","second","year","keep","good","work","clown","","","","",""
"espn's","stephen","smith","goes","scorched","earth","benched","","star","kyrie","irving","","often","stephen","right","","","",""
"","star","irving","best","declining","covid","vaccine","","","","world","","","","","","","",""
"","star","kyrie","irving","found","guilty","murders","last","years","twitter","","","","","","","","",""
"best","brooklyn","nets","star","kyrie","irving","says","","what’s","best","declining","covid","vaccine","move","","sidelined","","play","read"
"","","eqigfhucbg","","","","","","","","","","","","","","","",""
"","time","","champion","","smith","make","debut","college","golfer","next","week","","","","","","",""
"brooklyn","nets","coach","steve","nash","said","","team","understands","star","guard","kyrie","irving","","unavailable","home","games","remains",""
"covid","","","","","","","","","","","","","","","","","",""
"","","star","","smith","","first","college","golf","tourney","","","oojcvbrbsx","","","","","",""
"young","star","athlete","prime","life","struck","lucifer's","evil","covid","injections","termed","vaccines","healthcare","evil","deceptive","forces","control","earth","time"
"","","","","","","","","","","","","","","","","","",""
"","star","irving","what’s","best","declining","covid","vaccine","malay","mail","","","ichzzmraxh","","","","","",""
"curry","praises","lakers","star","james","longevity","","malay","mail","","","","","","","","","",""
"","eric","star","plays","","donaghy","","referee","true","story","actually","happened","","","","","","",""
"dapper","labs","signs","multiyear","partnership","","star","kevin","durant’s","boardroom","","","","","","","","",""
"","","beyond","criticism","","recognize","talk","cheap","folks","","single","bucket","matchup","","star","single","article","peer","reviewed"
"journal","","","","","","","","","","","","","","","","","",""
"giannis","","jumper","looking","","milwaukee","bucks","star","looked","much","improved","perimeter","latest","preseason","tilt","jazz","","",""
"mofo","former","magic","star","remembers","time","michael","jordan","trash","talked","","","","","","","","",""
"hangin","","","crew","","star","saturday","kenny","chuck","shaq","snoop","","","","mxyobwnxrg","","youtube","",""
"","kyrie","really","care","people","pushed","vaccinated","right","thing","","vaccinated","donate","salary","people","","care","","",""
"","york","gazette","politics","","star","gets","blood","clots","says","","ends","season","possibly","career","","","","monday"
"orlando","magic","media","","jonathan","isaac","answered","questions","","","hwzsxorcth","","","","","","","",""
"","","lemon","attacks","","star","kyrie","irving’s","perverse","sense","freedom","getting","jabbed","videos","","","","fintech",""
