"games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","age","Ratings_2k","total_fouls","Salary_pct","year","name","full_name","primary_position","All_Nba","All_Nba_team"
0,0,0,0.06,0.02,0,0,0.03,0,0,0,0,0.8,0.34,0.05,0.25,0.32,0.41,0.0065190385533831,2020,"Wizards","Anzejs Pasecniks","C","0","0"
0.77,0.29,0.22,0.09,0.2,0.18,0.03,0.15,0.59,0.23,0.16,0.57,0.4,0.28,0.05,0.21,0.32,0.34,0.0120587451249748,2020,"Wizards","Garrison Mathews","SG","0","0"
0.77,0.27,0.19,0.15,0.21,0.46,0.02,0.26,0.53,0.35,0.24,0.54,0.2,0.1,0.24,0.42,0.32,0.36,0.0331545826648906,2020,"Wizards","Raul Neto","PG","0","0"
0.3,0.05,0.05,0.12,0.11,0.15,0.04,0.09,0.55,0.21,0.08,0.56,0.5,0.35,0,0.38,0.26,0.21,0.0157710927348287,2020,"Wizards","Anthony Gill","PF","0","0"
0.65,0.39,0.18,0.3,0.15,0.24,0.08,0.21,0.48,0.32,0.21,0.5,0.6,0.25,0,0.04,0.32,0.53,0.0788185699421022,2020,"Wizards","Deni Avdija","SF","0","0"
0.55,0.38,0.47,0.12,0.16,0.16,0.05,0.26,0.58,0.31,0.19,0.61,0.35,0.23,0.52,0.58,0.32,0.27,0.0628502207483252,2020,"Pistons","Wayne Ellington","SG","0","0"
0.65,0.66,0.4,0.29,0.11,0.26,0.29,0.68,0.52,0.57,0.52,0.49,0.55,0.25,0.29,0.33,0.53,0.48,0.336260125191665,2020,"Pistons","Jerami Grant","PF","0","0"
0.67,0.13,0.09,0.16,0.08,0.17,0.04,0.19,0.43,0.22,0.15,0.43,0.55,0.35,0.05,0.04,0.21,0.34,0.0608135304257715,2020,"Pistons","Sekou Doumbouya","PF","0","0"
0.48,0.07,0.29,0.13,0.08,0.15,0.01,0.28,0.55,0.3,0.24,0.56,0.3,0.22,0.1,0.17,0.29,0.28,0.0122540751557361,2020,"Pistons","Frank Jackson","PG","0","0"
0.67,0.68,0,0.58,0.15,0.31,0.24,0.28,0.59,0.59,0.22,0.61,0.7,0.47,0.33,0.5,0.44,0.68,0.141159624431238,2020,"Pistons","Mason Plumlee","C","0","0"
0.82,0.17,0.06,0.42,0.07,0.23,0.34,0.23,0.55,0.43,0.21,0.58,0.55,0.45,0,0.04,0.41,0.57,0.0550166619724083,2020,"Pistons","Isaiah Stewart","C","0","0"
0.8,0.37,0.51,0.23,0.21,0.27,0.05,0.31,0.62,0.48,0.27,0.65,0.55,0.3,0.29,0.62,0.47,0.39,0.182892363102357,2020,"Jazz","Joe Ingles","SF","0","0"
0.32,0.02,0.01,0.15,0.05,0.09,0.05,0.14,0.6,0.26,0.09,0.63,0.65,0.55,0.24,0.25,0.29,0.3,0.0331545826648906,2020,"Pistons","Jahlil Okafor","C","0","0"
0.18,0.02,0.13,0.09,0.18,0.2,0.02,0.16,0.57,0.25,0.15,0.61,0.35,0.22,0.19,0.46,0.26,0.15,0.0915865646772515,2020,"Pistons","Rodney McGruder","SG","0","0"
