"year","name","full_name","primary_position","games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","All_Nba","All_Nba_team","age","Ratings_2k","total_fouls","Salary_pct","SalaryLabel"
2020,"Hawks","Kris Dunn","PG",4,0,0,1.5,0.67,0.5,0.5,3.44,18.2,0.5,0,8.3,75,205,4,0,0,26,75,3,4.36778449697636,"average"
2020,"Hawks","Danilo Gallinari","SF",51,4,202,4.14,1.77,0.59,0.2,10.81,61.3,13.29,1.14,54.2,82,233,11,0,0,32,79,2.08,17.8669598680594,"star"
2020,"Hawks","Bruno Fernando","C",33,0,0,2.36,0.48,0.12,0.09,1.63,47.5,2.79,0.36,40.9,81,240,1,0,0,22,71,0.73,1.39085669781931,"below average"
2020,"Hawks","John Collins","PF",63,63,132,7.41,0.93,0.54,1,13.66,64.5,20.52,1.73,61,81,235,3,0,0,23,84,3.11,3.79082096389958,"below average"
2020,"Clippers","Amir Coffey","SG",44,1,52,1,1.47,0.23,0,2.72,58.5,3,0.5,54.9,79,210,1,0,0,23,75,0.68,0.530366501740883,"below average"
2020,"Hawks","Tony Snell","SG",47,23,132,2.38,2.81,0.28,0.23,3.74,70.8,7.23,0.47,69.6,78,213,7,0,0,28,75,1.6,11.1586686824262,"star"
2020,"Pelicans","Isaiah Thomas","PG",3,0,100,1.33,0.83,0.33,0,9.29,41.2,3,2,38.9,69,185,9,0,0,31,75,1,0.146323987538941,"below average"
2020,"Clippers","Terance Mann","SG",67,10,57,3.61,2.6,0.43,0.19,5.84,60.3,9.43,0.96,56.3,77,215,1,0,0,23,77,1.88,1.39085669781931,"below average"
2020,"Pelicans","Steven Adams","C",58,58,0,8.86,1.42,0.93,0.66,6.33,59.6,15.22,0.5,61.4,83,265,7,0,0,27,79,2.02,27.114435587319,"superstar"
2020,"Pelicans","Will Magnay","C",1,0,0,0,0,0,0,1,0,-2,0,0,82,234,0,0,0,22,75,1,0.312883452446399,"below average"
2020,"Pelicans","Naji Marshall","SF",32,10,91,4.63,2.32,0.81,0.31,7.56,50.8,10.34,1.25,46.2,79,220,0,0,0,22,72,1.84,0.49330309693971,"below average"
